tweet_id,retweet_count,favorite_count,favorited,retweeted
668544745690562560,7241.0,26802.0,False,False
668567822092664832,8182.0,30906.0,False,False
668614819948453888,2844.0,13962.0,False,False
668620235289837568,8339.0,28753.0,False,False
668623201287675904,3904.0,19747.0,False,False
668625577880875008,3952.0,14633.0,False,False
668627278264475648,2292.0,0.0,False,False
668631377374486528,4950.0,22817.0,False,False
668633411083464705,91.0,2121.0,False,False
668636665813057536,1048.0,8437.0,False,False
668641109086707712,2292.0,8129.0,False,False
668643542311546881,4864.0,18429.0,False,False
668645506898350081,3344.0,16417.0,False,False
668655139528511488,4666.0,19651.0,False,False
668779399630725120,21918.0,71383.0,False,False
668815180734689280,,,,
668826086256599040,10148.0,34707.0,False,False
668852170888998912,3922.0,16511.0,False,False
668872652652679168,3618.0,16065.0,False,False
668892474547511297,2038.0,0.0,False,False
668902994700836864,761.0,0.0,False,False
668932921458302977,2038.0,7213.0,False,False
668955713004314625,5047.0,22761.0,False,False
668960084974809088,3331.0,17709.0,False,False
668975677807423489,5562.0,16087.0,False,False
668979806671884288,29425.0,0.0,False,False
668981893510119424,3903.0,18887.0,False,False
668986018524233728,3342.0,14875.0,False,False
668988183816871936,1489.0,17967.0,False,False
668989615043424256,28734.0,86768.0,False,False
668992363537309700,13006.0,32670.0,False,False
668994913074286592,7748.0,0.0,False,False
669000397445533696,3327.0,15060.0,False,False
669006782128353280,4642.0,20802.0,False,False
669015743032369152,2779.0,15244.0,False,False
669037058363662336,2483.0,15574.0,False,False
669203728096960512,10178.0,33185.0,False,False
669214165781868544,1572.0,5709.0,False,False
669216679721873412,4331.0,19440.0,False,False
669324657376567296,17.0,218.0,False,False
669327207240699904,164.0,0.0,False,False
669328503091937280,3828.0,18304.0,False,False
669351434509529089,,,,
669353438988365824,2774.0,15857.0,False,False
669354382627049472,1804.0,11529.0,False,False
669359674819481600,646.0,0.0,False,False
669363888236994561,15.0,502.0,False,False
669367896104181761,6057.0,26985.0,False,False
669371483794317312,25.0,330.0,False,False
669375718304980992,941.0,4791.0,False,False
669393256313184256,2039.0,11553.0,False,False
669564461267722241,17391.0,44516.0,False,False
669567591774625800,5242.0,25979.0,False,False
669571471778410496,7943.0,29075.0,False,False
669573570759163904,5769.0,0.0,False,False
